task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
64	8e/0049cc	3535431	READ_PROCESSING:FASTQC (ERR11435658)	COMPLETED	0	2026-05-11 09:34:43.981	3m 22s	3m 22s	190.8%	873.8 MB	4.3 GB	3 GB	4.1 MB
61	d1/d3c2d5	3528988	READ_PROCESSING:FASTQC (ERR11435642)	COMPLETED	0	2026-05-11 09:34:21.758	4m 22s	4m 21s	183.5%	909.9 MB	4.3 GB	3.7 GB	4 MB
65	68/4286e2	3536414	READ_PROCESSING:FASTQC (ERR11435660)	COMPLETED	0	2026-05-11 09:34:46.082	4m 13s	4m 12s	188.0%	879.6 MB	4.3 GB	3.6 GB	4.1 MB
62	f6/557c29	3532602	READ_PROCESSING:FASTQC (ERR11435648)	COMPLETED	0	2026-05-11 09:34:33.951	4m 51s	4m 50s	181.3%	884.1 MB	4.4 GB	4 GB	4 MB
35	6d/05f8d1	3508845	READ_PROCESSING:FASTQC (ERR11435650)	COMPLETED	0	2026-05-11 09:33:16.092	6m 58s	6m 58s	177.9%	893.1 MB	4.3 GB	5.8 GB	4 MB
68	84/3457f2	3588376	READ_PROCESSING:TRIM_GALORE (ERR11435648)	COMPLETED	0	2026-05-11 09:38:06.390	2m 27s	2m 27s	303.6%	93.9 MB	491.7 MB	4.1 GB	7 GB
70	dc/a111ce	3602674	READ_PROCESSING:TRIM_GALORE (ERR11435658)	COMPLETED	0	2026-05-11 09:38:58.683	1m 51s	1m 50s	279.5%	93.3 MB	542.5 MB	3 GB	5.1 GB
67	4f/1c401c	3598175	READ_PROCESSING:TRIM_GALORE (ERR11435642)	COMPLETED	0	2026-05-11 09:38:43.507	2m 18s	2m 17s	294.5%	95.3 MB	542.5 MB	3.7 GB	6.3 GB
63	bd/0f5a1f	3533994	READ_PROCESSING:FASTQC (ERR11435656)	COMPLETED	0	2026-05-11 09:34:39.500	6m 38s	6m 38s	173.1%	873.7 MB	4.3 GB	5.4 GB	4 MB
72	19/6ffc87	3609425	READ_PROCESSING:TRIM_GALORE (ERR11435662)	COMPLETED	0	2026-05-11 09:39:24.719	2m 1s	2m	334.6%	93.5 MB	492.1 MB	3.9 GB	6.6 GB
71	1c/7f659d	3622242	READ_PROCESSING:TRIM_GALORE (ERR11435660)	COMPLETED	0	2026-05-11 09:40:14.383	1m 35s	1m 34s	383.0%	90 MB	492.1 MB	3.7 GB	6.2 GB
66	00/b2b87a	3584749	READ_PROCESSING:FASTQC (ERR11435662)	COMPLETED	0	2026-05-11 09:37:53.942	4m 35s	4m 34s	169.7%	911.3 MB	4.4 GB	3.9 GB	4.1 MB
3	cb/ee050c	3130452	PARABRICKS_ANALYSIS:BWAMETH_INDEX (Homo_sapiens.GRCh38.dna.primary_assembly.fa)	COMPLETED	0	2026-05-11 09:10:17.475	2h 4s	2h 4s	0.8%	9.4 GB	9.5 GB	2.9 GB	5.8 GB
84	e1/f831dc	404147	PARABRICKS_ANALYSIS:PARABRICKS_FQ2BAMMETH (ERR11435653)	COMPLETED	0	2026-05-11 11:10:21.232	8m 49s	8m 49s	1455.6%	47.4 GB	417.4 GB	38.4 GB	21.6 GB
79	8e/cc855c	541119	PARABRICKS_ANALYSIS:PARABRICKS_FQ2BAMMETH (ERR11435654)	COMPLETED	0	2026-05-11 11:19:10.500	9m 39s	9m 39s	1444.8%	45.2 GB	415.9 GB	40.1 GB	22.7 GB
75	6a/1ac7cd	687803	PARABRICKS_ANALYSIS:PARABRICKS_FQ2BAMMETH (ERR11435663)	COMPLETED	0	2026-05-11 11:28:49.859	13h 23m 9s	13h 23m 9s	1528.3%	859.1 GB	1.1 TB	33 GB	19.6 GB
78	9f/1379e1	1408632	PARABRICKS_ANALYSIS:PARABRICKS_FQ2BAMMETH (ERR11435656)	COMPLETED	0	2026-05-12 00:51:58.809	8m 10s	8m 9s	1369.7%	45.2 GB	413.2 GB	37.5 GB	20.8 GB
